Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R21,100,R_0402_1005Metric,94.234,-20.828,90.0,top
R22,100,R_0402_1005Metric,96.774,-55.372,-90.0,top
R23,100,R_0402_1005Metric,99.314,-55.372,-90.0,top
R24,100,R_0402_1005Metric,101.854,-55.372,-90.0,top
R25,100,R_0402_1005Metric,101.854,-20.828,90.0,top
R26,100,R_0402_1005Metric,104.394,-20.828,90.0,top
R27,1000,R_0402_1005Metric,99.314,-20.828,90.0,top
R28,100,R_0402_1005Metric,127.381,-20.828,90.0,top
R29,100,R_0402_1005Metric,124.841,-20.828,90.0,top
R30,100,R_0402_1005Metric,127.381,-55.372,-90.0,top
R31,100,R_0402_1005Metric,129.921,-55.372,-90.0,top
R32,100,R_0402_1005Metric,132.461,-55.372,-90.0,top
R33,100,R_0402_1005Metric,132.461,-20.828,90.0,top
R34,100,R_0402_1005Metric,135.001,-20.828,90.0,top
R35,1000,R_0402_1005Metric,129.921,-20.828,90.0,top
R36,10k,R_0402_1005Metric,135.7884,-44.1452,90.0,top
R37,10k,R_0402_1005Metric,129.4892,-33.272,90.0,top
R38,2k2,R_0402_1005Metric,122.3264,-52.1716,45.0,top
R39,2k2,R_0402_1005Metric,121.1072,-50.9524,45.0,top
R40,5k1,R_0402_1005Metric,30.734,-25.146,0.0,top
R41,5k1,R_0402_1005Metric,30.734,-28.1432,0.0,top
R42,R,R_0603_1608Metric,31.242,-35.941,0.0,top
R43,R,R_0603_1608Metric,31.242,-37.465,0.0,top
R44,R,R_0603_1608Metric,31.242,-38.989,0.0,top
R45,R,R_0603_1608Metric,61.849,-35.941,0.0,top
R46,R,R_0603_1608Metric,61.849,-37.465,0.0,top
R47,R,R_0603_1608Metric,61.849,-38.989,0.0,top
R48,R,R_0603_1608Metric,113.411,-35.941,0.0,top
R49,R,R_0603_1608Metric,113.411,-37.465,0.0,top
R50,R,R_0603_1608Metric,113.411,-38.989,0.0,top
R51,R,R_0603_1608Metric,92.456,-35.941,0.0,top
R52,R,R_0603_1608Metric,92.456,-37.465,0.0,top
R53,R,R_0603_1608Metric,92.456,-38.989,0.0,top
R54,R,R_0402_1005Metric,110.7948,-55.0672,0.0,top
SW1,SW_Push,5.2mm_Tactile_Push_Button,114.6048,-18.6436,180.0,top
U1,74LS47,SOIC-16_4.55x10.3mm_P1.27mm,38.1,-38.1,270.0,top
U2,74LS47,SOIC-16_4.55x10.3mm_P1.27mm,68.6816,-38.1,270.0,top
U3,SBC18-11SURKCGKWA,Segment_Display_1-5_inch,38.1,-38.1,0.0,bottom
U4,SBC18-11SURKCGKWA,Segment_Display_1-5_inch,68.7,-38.1,0.0,bottom
U5,ESP32-S2FH4,ESP32-S2,130.2935,-39.075,180.0,top
U6,74LS47,SOIC-16_4.55x10.3mm_P1.27mm,99.314,-38.1,270.0,top
U7,74LS47,SOIC-16_4.55x10.3mm_P1.27mm,120.269,-38.0746,270.0,top
U8,SBC18-11SURKCGKWA,Segment_Display_1-5_inch,99.3,-38.1,0.0,bottom
U9,SBC18-11SURKCGKWA,Segment_Display_1-5_inch,129.9,-38.1,0.0,bottom
U10,AMS1117-3.3,SOT-223-3_TabPin2,52.2478,-50.6476,180.0,top
Y1,40MHz +-10PPM,Crystal_SMD_2520-4Pin_2.5x2.0mm,130.81,-46.1264,180.0,top
